title,view,vote,describe,movie_genre,nation,follower,rating,season,combined_text
tiểu lam và tiểu lục 3,8681,1.6,tiểu_lam tiểu_lục,anime_bộ fantasy drama comedy,trung_quốc,7,tuổi_teen,2023.0,tiểu_lam tiểu_lục anime_bộ fantasy drama comedy trung_quốc tuổi_teen
thất hầu bút lục,2495,5.0,nghìn hậu_duệ gia_tộc yinyang cảm_thấy đau_buồn đốt sách chôn_cất văn_nhân_lệnh hoàng_đế đầu_tiên nhà tần_dấu_hiệu đốt cháy cung_điện epang ngăn_chặn biến mất kiến_thức anh ta bắt_đầu thu_thập linh_hồn nguyên_thủy văn_nhân họ sắp chết sử_dụng linh_hồn nguyên_thủy làm bút vẽ nghìn sinh_viên đại_học bình_thường luo_zhongxia vô_tình bút lông_nguyên thần_lý bạch_siêu năng_lực linh_hồn trong bút mang bao_lâu thế_lực khác nhau tranh_giành sức_mạnh tinh_thần mạnh_mẽ lý_bạch khiến lạc trung_hạ lần gặp nguy_hiểm thoát khỏi nguy_hiểm luo zhongxia tiếp_tục tìm cách trả bàn_chải anh liên_tục gặp thất_bại trở gắn_bó chặt_chẽ “ linh_hồn ở quan_thành ”,anime_bộ fantasy adventure historical martial_arts action,trung_quốc,25,tuổi_teen,2023.0,nghìn hậu_duệ gia_tộc yinyang cảm_thấy đau_buồn đốt sách chôn_cất văn_nhân_lệnh hoàng_đế đầu_tiên nhà tần_dấu_hiệu đốt cháy cung_điện epang ngăn_chặn biến mất kiến_thức anh ta bắt_đầu thu_thập linh_hồn nguyên_thủy văn_nhân họ sắp chết sử_dụng linh_hồn nguyên_thủy làm bút vẽ nghìn sinh_viên đại_học bình_thường luo_zhongxia vô_tình bút lông_nguyên thần_lý bạch_siêu năng_lực linh_hồn trong bút mang bao_lâu thế_lực khác nhau tranh_giành sức_mạnh tinh_thần mạnh_mẽ lý_bạch khiến lạc trung_hạ lần gặp nguy_hiểm thoát khỏi nguy_hiểm luo zhongxia tiếp_tục tìm cách trả bàn_chải anh liên_tục gặp thất_bại trở gắn_bó chặt_chẽ “ linh_hồn ở quan_thành ” anime_bộ fantasy adventure historical martial_arts action trung_quốc tuổi_teen
kiếm vực phong vân,1247603,7.7,kiếm vực đại_lục xa_xưa thanh kiếm thần đại_gia_tộc lữ_dương hậu_duệ lữ_gia trong đại_gia_tộc trong thời_khắc chạy trốn truy_sát thức_tỉnh đào_thần kiếm tránh khỏi truy_sát hắn giấu tài_khắc_khổ tu_luyện báo thù_mẹ thăm_dò chân_tướng hòa_giải tranh_đấu giữ đại_gia_tộc cuối xưng bá_thiên_hạ thập kiếm_vấn đỉnh ngôi báu kiếm_vực đại_lục,anime_bộ fantasy adventure martial_arts action,trung_quốc,1417,tuổi_teen,2021.0,kiếm vực đại_lục xa_xưa thanh kiếm thần đại_gia_tộc lữ_dương hậu_duệ lữ_gia trong đại_gia_tộc trong thời_khắc chạy trốn truy_sát thức_tỉnh đào_thần kiếm tránh khỏi truy_sát hắn giấu tài_khắc_khổ tu_luyện báo thù_mẹ thăm_dò chân_tướng hòa_giải tranh_đấu giữ đại_gia_tộc cuối xưng bá_thiên_hạ thập kiếm_vấn đỉnh ngôi báu kiếm_vực đại_lục anime_bộ fantasy adventure martial_arts action trung_quốc tuổi_teen
ngạo thế cửu trùng thiên,182044,9.8,giữ thần_vật cửu_kiếp kiếm đại_lục_cửu trùng_thiên trong tay sở_dương gặp họa sát_thân mọi người treo_cổ ép chết nhát kiếm xuyên tim vô_tình khiến cửu_kiếp kiếm thức_tỉnh trùng_sinh thời_niên thiếu trải_nghiệm đời thêm lần kiếp hắn đi con đường khác kiếp bảo_vệ người mình yêu_huynh đệ tìm_kiếm cửu kiếp kiếm,anime_bộ cartoon,trung_quốc,214,tuổi_teen,2023.0,giữ thần_vật cửu_kiếp kiếm đại_lục_cửu trùng_thiên trong tay sở_dương gặp họa sát_thân mọi người treo_cổ ép chết nhát kiếm xuyên tim vô_tình khiến cửu_kiếp kiếm thức_tỉnh trùng_sinh thời_niên thiếu trải_nghiệm đời thêm lần kiếp hắn đi con đường khác kiếp bảo_vệ người mình yêu_huynh đệ tìm_kiếm cửu kiếp kiếm anime_bộ cartoon trung_quốc tuổi_teen
độc bộ tiêu dao,3408484,5.3,quyến_luyến hồng_trần thần_phật tham_lam ta đành bước đỉnh_cao,anime_bộ martial_arts action,trung_quốc,3219,tuổi_teen,2020.0,quyến_luyến hồng_trần thần_phật tham_lam ta đành bước đỉnh_cao anime_bộ martial_arts action trung_quốc tuổi_teen
vô thượng thần đế,4785601,6.0,tiên vương_mục vân bởi nắm giữ tru tiên_đồ kẻ khác ám_toán tàn_hồn ngủ say vạn thức_tỉnh ở người phế_vật mục_vân nam_vân đế_quốc thiên_vận đại_lụcmục vân mới tỉnh nhận xem_thường đám học_trò khinh_rẻ gia_tộc mục_vân dễ_dàng hóa giải thử_thách đồng_thời còn khiến người bất_ngờ khả_năng bản thântiếp_tục hành_trình tu_luyện mục vân thề khuấy đảo thiên_địa_trở đỉnh_cao đời ta nhất_định thống_trị vạn_giới phá vỡ trời cao,anime_bộ supernatural adventure magic action,trung_quốc,4644,tuổi_teen,2020.0,tiên vương_mục vân bởi nắm giữ tru tiên_đồ kẻ khác ám_toán tàn_hồn ngủ say vạn thức_tỉnh ở người phế_vật mục_vân nam_vân đế_quốc thiên_vận đại_lụcmục vân mới tỉnh nhận xem_thường đám học_trò khinh_rẻ gia_tộc mục_vân dễ_dàng hóa giải thử_thách đồng_thời còn khiến người bất_ngờ khả_năng bản thântiếp_tục hành_trình tu_luyện mục vân thề khuấy đảo thiên_địa_trở đỉnh_cao đời ta nhất_định thống_trị vạn_giới phá vỡ trời cao anime_bộ supernatural adventure magic action trung_quốc tuổi_teen
tiên nghịch,64053,9.1,hành_trình vương_lâm thiếu_niên bình_thường trở_thành trong tu_sĩ mạnh_mẽ nhất trong thế_giới tiên_hiệpvương lâm_thiếu_niên may_mắn cuốn thế_giới pháp_thuật tu_tiên nước triệu ban_đầu hắn thiếu linh_căn tri_thức thế_giới tuy_nhiên hiểu lầm_tai_hại khối thiết_tinh bí_ẩn thay_đổi_đời vương_lâm mãi_mãi hắn nhận thần bí_hạt châu hỗ_trợ quý_báu trong trở_thành tu_sĩ mạnh mẽcon đường tu_tiên vương_lâm_hề trải phẫu_thuật hắn đối_mặt thử_thách đầy khó_khăn hiểm_nguy chiến_đấu thế_lực tà_ác khám_phá bí_ẩn sâu_thẳm thế_giới tiên_hiệp hành_trình sức_mạnh vật_lý còn trưởng_thành trí_tuệ lòng dũng_cảm trong trái_tim vương_lâm,anime_bộ cartoon fantasy adventure martial_arts action,trung_quốc,610,tuổi_teen,2023.0,hành_trình vương_lâm thiếu_niên bình_thường trở_thành trong tu_sĩ mạnh_mẽ nhất trong thế_giới tiên_hiệpvương lâm_thiếu_niên may_mắn cuốn thế_giới pháp_thuật tu_tiên nước triệu ban_đầu hắn thiếu linh_căn tri_thức thế_giới tuy_nhiên hiểu lầm_tai_hại khối thiết_tinh bí_ẩn thay_đổi_đời vương_lâm mãi_mãi hắn nhận thần bí_hạt châu hỗ_trợ quý_báu trong trở_thành tu_sĩ mạnh mẽcon đường tu_tiên vương_lâm_hề trải phẫu_thuật hắn đối_mặt thử_thách đầy khó_khăn hiểm_nguy chiến_đấu thế_lực tà_ác khám_phá bí_ẩn sâu_thẳm thế_giới tiên_hiệp hành_trình sức_mạnh vật_lý còn trưởng_thành trí_tuệ lòng dũng_cảm trong trái_tim vương_lâm anime_bộ cartoon fantasy adventure martial_arts action trung_quốc tuổi_teen
dark gathering,2191244,9.8,keitarou chàng trai khả_năng thu_hút ma quỷ thuê làm gia_sư cô bé mang tên gọi yayoi người_thể trông thấy ma_quỷ trong công tìm_kiếm con ma mang người mẹ mình đi mất,anime_bộ shounen supernatural horror,nhật_bản,1743,người_lớn,2023.0,keitarou chàng trai khả_năng thu_hút ma quỷ thuê làm gia_sư cô bé mang tên gọi yayoi người_thể trông thấy ma_quỷ trong công tìm_kiếm con ma mang người mẹ mình đi mất anime_bộ shounen supernatural horror nhật_bản người_lớn
mf ghost,1205,8.8,x trong tương_lai xa initial d nhật_bản phổ_biến phương_tiện tự_hành thế_giới đường công_cộng sử_dụng đua ô_tô mọi người tụ_tập khắp thế_giới tham_gia đua nổi_tiếng gọi mfg porsche ferrari lamborghini người tham_gia mời tham_gia xe nhanh nhất họ trong người tham_gia kanata rivington tốt_nghiệp trường_đua xe người anh quay trở_nhật_bản đạt mục_tiêu mình,anime_bộ seinen sports,nhật_bản,102,tuổi_teen,2023.0,x trong tương_lai xa initial d nhật_bản phổ_biến phương_tiện tự_hành thế_giới đường công_cộng sử_dụng đua ô_tô mọi người tụ_tập khắp thế_giới tham_gia đua nổi_tiếng gọi mfg porsche ferrari lamborghini người tham_gia mời tham_gia xe nhanh nhất họ trong người tham_gia kanata rivington tốt_nghiệp trường_đua xe người anh quay trở_nhật_bản đạt mục_tiêu mình anime_bộ seinen sports nhật_bản tuổi_teen
100 cô bạn gái yêu bạn rất rất rất rất rất nhiều,867646,9.2,xuân chia_li gặp_gỡ aijou rentarou_trải nỗi đau chối_tỏ tình lần đúng lễ tốt_nghiệp trung_học mình cậu_dáng quý ông trái_tim trong_sáng thuần_khiết mọi người xung_quanh nói cậu khuôn_mặt tính_cách tốt_vị thần_hôn_nhân tình_yêu ngôi đền bất_ngờ xuất_hiện rentarou tuyệt_vọng nói sống trung_học mới sắp bắt_đầu cậu gặp người bạn định_mệnh người hòa_hợp cậu bằng cách nào chết đột_nhiên vận_mệnh_yêu hoặc chết × gây sốc thuê dệt bằng cách ngày xám_xịt chối chuyển sang ngày tươi_sáng cậu bắt_đầu tràn_ngập trong hạnh_phúc tình_yêu luật nào nói bạn_thể bạn gái ai bỏ_rơi sống trung_học_harem tình_yêu hài_hước thuần_túy kỳ_lạ mối tình đa_thê đầy chân_thành tiếng sét ái_tình lần_lượt đưa người định_mệnh đến nhau,anime_bộ slice_of_life school romance harem comedy,nhật_bản,1023,tuổi_teen,2023.0,xuân chia_li gặp_gỡ aijou rentarou_trải nỗi đau chối_tỏ tình lần đúng lễ tốt_nghiệp trung_học mình cậu_dáng quý ông trái_tim trong_sáng thuần_khiết mọi người xung_quanh nói cậu khuôn_mặt tính_cách tốt_vị thần_hôn_nhân tình_yêu ngôi đền bất_ngờ xuất_hiện rentarou tuyệt_vọng nói sống trung_học mới sắp bắt_đầu cậu gặp người bạn định_mệnh người hòa_hợp cậu bằng cách nào chết đột_nhiên vận_mệnh_yêu hoặc chết × gây sốc thuê dệt bằng cách ngày xám_xịt chối chuyển sang ngày tươi_sáng cậu bắt_đầu tràn_ngập trong hạnh_phúc tình_yêu luật nào nói bạn_thể bạn gái ai bỏ_rơi sống trung_học_harem tình_yêu hài_hước thuần_túy kỳ_lạ mối tình đa_thê đầy chân_thành tiếng sét ái_tình lần_lượt đưa người định_mệnh đến nhau anime_bộ slice_of_life school romance harem comedy nhật_bản tuổi_teen
